"","1"
"ind2_cat40:urban_m3",-0.0175036849480119
"ind2_cat55:urban_m3",0.00330511485424291
"ind2_cat56:urban_m3",-0.0268313820607
"ind2_cat60:urban_m3",-0.040846200554835
"total_assets_bs:gender_mmale",-0.0500099515709739
"total_assets_bs:gender_mmix",0.0441882633089895
"fixed_assets_bs:gender_mmale",0
"fixed_assets_bs:gender_mmix",0
"liq_assets_bs:gender_mmale",-0.0272245663805817
"liq_assets_bs:gender_mmix",-0.0896660326978115
"curr_assets_bs:gender_mmale",0.00273469729205323
"curr_assets_bs:gender_mmix",0.0610492519953188
"share_eq_bs:gender_mmale",0.0216775893682479
"share_eq_bs:gender_mmix",0
"subscribed_cap_bs:gender_mmale",0.0879376700498981
"subscribed_cap_bs:gender_mmix",-0.0374337247512033
"intang_assets_bs:gender_mmale",0.0919789305119577
"intang_assets_bs:gender_mmix",0
"extra_exp_pl:gender_mmale",0.223674201445129
"extra_exp_pl:gender_mmix",0
"extra_inc_pl:gender_mmale",0
"extra_inc_pl:gender_mmix",-0.0645996539189587
"extra_profit_loss_pl:gender_mmale",-0.00664795673301219
"extra_profit_loss_pl:gender_mmix",-0.162835502141175
"inventories_pl:gender_mmale",-0.0415369080071756
"inventories_pl:gender_mmix",-0.136727331891926
"material_exp_pl:gender_mmale",0.0680137438237954
"material_exp_pl:gender_mmix",0.0187970972840657
"profit_loss_year_pl:gender_mmale",-0.033446662666212
"profit_loss_year_pl:gender_mmix",0.0114506162337786
"personnel_exp_pl:gender_mmale",-0.114572907633449
"personnel_exp_pl:gender_mmix",-0.0691695953569227
"total_assets_bs:m_region_locEast",0.0619597139015083
"total_assets_bs:m_region_locWest",0.0530853285987619
"fixed_assets_bs:m_region_locEast",-0.0129447970849866
"fixed_assets_bs:m_region_locWest",-0.266015201074538
"liq_assets_bs:m_region_locEast",0.0320313859990136
"liq_assets_bs:m_region_locWest",-0.0243378844172805
"curr_assets_bs:m_region_locEast",0.0145984596412151
"curr_assets_bs:m_region_locWest",-0.29870598348704
"share_eq_bs:m_region_locEast",-0.00384710062342242
"share_eq_bs:m_region_locWest",0
"subscribed_cap_bs:m_region_locEast",-0.0571972563520836
"subscribed_cap_bs:m_region_locWest",-0.021513308940591
"intang_assets_bs:m_region_locEast",-0.0280146436568127
"intang_assets_bs:m_region_locWest",-0.0277498158486598
"extra_exp_pl:m_region_locEast",-0.152577321130192
"extra_exp_pl:m_region_locWest",-0.00811938295350049
"extra_inc_pl:m_region_locEast",0
"extra_inc_pl:m_region_locWest",-0.0247143960539727
"extra_profit_loss_pl:m_region_locEast",0
"extra_profit_loss_pl:m_region_locWest",0
"inventories_pl:m_region_locEast",0.0201492621121982
"inventories_pl:m_region_locWest",0.0317602583199604
"material_exp_pl:m_region_locEast",-0.0183803804721179
"material_exp_pl:m_region_locWest",0.183273290931699
"profit_loss_year_pl:m_region_locEast",-0.0931554591762971
"profit_loss_year_pl:m_region_locWest",0.0809951164927765
"personnel_exp_pl:m_region_locEast",0.0544268391926511
"personnel_exp_pl:m_region_locWest",0.232708706000706
"total_assets_bs:urban_m2",0.151764715468573
"total_assets_bs:urban_m3",0.0901502358780082
"fixed_assets_bs:urban_m2",0.0415833742625785
"fixed_assets_bs:urban_m3",-0.000126216133908851
"liq_assets_bs:urban_m2",0.000991359854609157
"liq_assets_bs:urban_m3",-0.0449097896388272
"curr_assets_bs:urban_m2",0.0471284153615421
"curr_assets_bs:urban_m3",0.16407168407771
"share_eq_bs:urban_m2",0.0292691741952137
"share_eq_bs:urban_m3",0.0213782683905131
"subscribed_cap_bs:urban_m2",0.0169540759016485
"subscribed_cap_bs:urban_m3",-0.0181789451810282
"intang_assets_bs:urban_m2",-0.0263161315686899
"intang_assets_bs:urban_m3",0.0320551597450569
"extra_exp_pl:urban_m2",0.169664696066124
"extra_exp_pl:urban_m3",-0.0461644756829348
"extra_inc_pl:urban_m2",0
"extra_inc_pl:urban_m3",-0.00181860960419699
"extra_profit_loss_pl:urban_m2",-0.0874310913994203
"extra_profit_loss_pl:urban_m3",-0.136304142850145
"inventories_pl:urban_m2",-0.0553144981174116
"inventories_pl:urban_m3",0.0135304303430742
"material_exp_pl:urban_m2",-0.0873249295406369
"material_exp_pl:urban_m3",-0.10533554484031
"profit_loss_year_pl:urban_m2",-0.0353158510310709
"profit_loss_year_pl:urban_m3",0.0376044904661158
"personnel_exp_pl:urban_m2",-0.074568150338612
"personnel_exp_pl:urban_m3",-0.00105440152638888
"total_assets_bs:ceo_age",0.373048959624559
"fixed_assets_bs:ceo_age",-0.35853088456831
"liq_assets_bs:ceo_age",-0.0353396773840121
"curr_assets_bs:ceo_age",0
"share_eq_bs:ceo_age",0.000538314292123365
"subscribed_cap_bs:ceo_age",0
"intang_assets_bs:ceo_age",0.133272083221886
"extra_exp_pl:ceo_age",0.24061827891326
"extra_inc_pl:ceo_age",0.165584397478191
"extra_profit_loss_pl:ceo_age",0
"inventories_pl:ceo_age",0.117280641950917
"material_exp_pl:ceo_age",0.0937074813729184
"profit_loss_year_pl:ceo_age",0.0577175098974598
"personnel_exp_pl:ceo_age",-0.0436425605590436
"total_assets_bs:age",-0.279433050087615
"fixed_assets_bs:age",-0.0351114102380446
"liq_assets_bs:age",-0.0463910859442986
"curr_assets_bs:age",0
"share_eq_bs:age",0.0973685998002551
"subscribed_cap_bs:age",0
"intang_assets_bs:age",0.0174644893877503
"extra_exp_pl:age",-0.346437915984078
"extra_inc_pl:age",-0.108173437259954
"extra_profit_loss_pl:age",0
"inventories_pl:age",-0.020939748263363
"material_exp_pl:age",-0.0135312015723596
"profit_loss_year_pl:age",0.0494001167782217
"personnel_exp_pl:age",-0.180275259660823
"total_assets_bs:foreign_management",-0.103049274502239
"fixed_assets_bs:foreign_management",0.0634054260117812
"liq_assets_bs:foreign_management",-0.0201028283275439
"curr_assets_bs:foreign_management",0
"share_eq_bs:foreign_management",0.0123223200602305
"subscribed_cap_bs:foreign_management",-0.0224940807752014
"intang_assets_bs:foreign_management",-0.0230293473111589
"extra_exp_pl:foreign_management",0
"extra_inc_pl:foreign_management",0.0330055029211336
"extra_profit_loss_pl:foreign_management",0.0501255144802256
"inventories_pl:foreign_management",0
"material_exp_pl:foreign_management",0.0121898459766442
"profit_loss_year_pl:foreign_management",-0.0893261113037745
"personnel_exp_pl:foreign_management",0.00324601016868245
"total_assets_bs:labor_avg_mod",0.08003515653914
"fixed_assets_bs:labor_avg_mod",-0.184389960054902
"liq_assets_bs:labor_avg_mod",-0.111561756903947
"curr_assets_bs:labor_avg_mod",0
"share_eq_bs:labor_avg_mod",-0.217154610539831
"subscribed_cap_bs:labor_avg_mod",-0.0828546497677169
"intang_assets_bs:labor_avg_mod",-0.0150106784517239
"extra_exp_pl:labor_avg_mod",0.0642224386677803
"extra_inc_pl:labor_avg_mod",0
"extra_profit_loss_pl:labor_avg_mod",-0.087204576076731
"inventories_pl:labor_avg_mod",-0.133749151248469
"material_exp_pl:labor_avg_mod",-0.0634520620238071
"profit_loss_year_pl:labor_avg_mod",0.017468810269485
"personnel_exp_pl:labor_avg_mod",0.225043177214063
